title,genres,year
Heavenly Creatures,Crime/Drama,1994
Houseguest,Comedy,1994
Immortal Beloved,Drama/Romance,1994
"Hunted, The",Action,1995
I.Q.,Comedy/Romance,1994
Interview With The Vampire: The Vampire Chronicles,Drama/Horror,1994
Jefferson In Paris,Drama,1995
"Jerky Boys, The",Comedy,1995
Junior,Comedy/Sci-Fi,1994
Just Cause,Mystery/Thriller,1995
"Kid In King Arthur'S Court, A",Adventure/Children,1995
Kiss Of Death,Crime/Drama,1995
Star Wars: Episode Iv - A New Hope,Action/Adventure,1977
Little Women,Drama,1994
"Little Princess, A",Children/Drama,1995
Ladybird Ladybird,Drama,1994
"Enfer, L'",Drama,1994
Legends Of The Fall,Drama/Romance,1994
Major Payne,Comedy,1995
Little Odessa,Crime/Drama,1994
Love Affair,Drama/Romance,1994
Losing Isaiah,Drama,1995
"Madness Of King George, The",Comedy/Drama,1994
Man Of The House,Comedy,1995
Mixed Nuts,Comedy,1994
Milk Money,Comedy/Romance,1994
Miracle On 34Th Street,Drama,1994
Miami Rhapsody,Comedy,1995
My Family,Drama,1995
Murder In The First,Drama/Thriller,1995
Nobody'S Fool,Comedy/Drama,1994
Nell,Drama,1994
New Jersey Drive,Crime/Drama,1995
Beyond Bedlam,Drama/Horror,1993
Nemesis 2: Nebula,Action/Sci-Fi,1995
Nina Takes A Lover,Comedy/Romance,1994
Natural Born Killers,Action/Crime,1994
Only You,Comedy/Romance,1994
Once Were Warriors,Crime/Drama,1994
Poison Ivy Ii,Drama/Thriller,1996
Outbreak,Action/Drama,1995
"Perez Family, The",Comedy/Romance,1995
"Pyromaniac'S Love Story, A",Comedy/Romance,1995
Pulp Fiction,Comedy/Crime,1994
Panther,Drama,1995
Priest,Drama,1994
Quiz Show,Drama,1994
"Quick And The Dead, The",Action/Thriller,1995
Roommates,Comedy/Drama,1995
Rent-A-Kid,Comedy,1995
Relative Fear,Horror/Thriller,1994
Stuart Saves His Family,Comedy,1995
"Swan Princess, The",Animation/Children,1994
"Secret Of Roan Inish, The",Children/Drama,1994
"Specialist, The",Action/Drama,1994
Stargate,Action/Adventure,1994
"Santa Clause, The",Comedy/Drama,1994
"Shawshank Redemption, The",Crime/Drama,1994
Shallow Grave,Comedy/Drama,1994
Suture,Film-Noir/Thriller,1993
Swimming With Sharks,Comedy/Drama,1995
"Sum Of Us, The",Comedy/Drama,1994
National Lampoon'S Senior Trip,Comedy,1995
Tank Girl,Action/Comedy,1995
Tales From The Crypt Presents: Demon Knight,Horror/Thriller,1995
Star Trek: Generations,Adventure/Drama,1994
Tales From The Hood,Action/Crime,1995
Tom & Viv,Drama,1994
Village Of The Damned,Horror/Sci-Fi,1995
Tommy Boy,Comedy,1995
Vanya On 42Nd Street,Drama,1994
Underneath,Mystery/Thriller,1995
"Walking Dead, The",Drama/War,1995
What'S Eating Gilbert Grape,Drama,1993
Virtuosity,Action/Sci-Fi,1995
While You Were Sleeping,Comedy/Romance,1995
"War, The",Adventure/Drama,1994
Double Happiness,Drama,1994
Muriel'S Wedding,Comedy,1994
"Baby-Sitters Club, The",Children,1995
Ace Ventura: Pet Detective,Comedy,1994
"Adventures Of Priscilla, Queen Of The Desert, The",Comedy/Drama,1994
Backbeat,Drama/Musical,1993
Bitter Moon,Drama/Film-Noir,1992
Bullets Over Broadway,Comedy,1994
Clear And Present Danger,Action/Crime,1994
"Client, The",Drama/Mystery,1994
"Corrina, Corrina",Comedy/Drama,1994
Crooklyn,Comedy/Drama,1994
"Crow, The",Action/Crime,1994
Cobb,Drama,1994
"Flintstones, The",Children/Comedy,1994
Forrest Gump,Comedy/Drama,1994
Four Weddings And A Funeral,Comedy/Romance,1994
Higher Learning,Drama,1995
I Like It Like That,Comedy/Drama,1994
I Love Trouble,Action/Comedy,1994
It Could Happen To You,Comedy/Drama,1994
"Jungle Book, The",Adventure/Children,1994
"Lion King, The",Adventure/Animation,1994
Little Buddha,Drama,1993
"Mask, The",Action/Comedy,1994
Maverick,Adventure/Comedy,1994
Mrs. Parker And The Vicious Circle,Drama,1994
Naked Gun 33 1/3: The Final Insult,Action/Comedy,1994
"Paper, The",Comedy/Drama,1994
Reality Bites,Comedy/Drama,1994
Red Rock West,Thriller,1992
Richie Rich,Children/Comedy,1994
Safe Passage,Drama,1994
"River Wild, The",Action/Thriller,1994
Speed,Action/Romance,1994
Speechless,Comedy/Romance,1994
Timecop,Action/Sci-Fi,1994
True Lies,Action/Adventure,1994
When A Man Loves A Woman,Drama/Romance,1994
Wolf,Drama/Horror,1994
Wyatt Earp,Western,1994
Bad Company,Action/Crime,1995
"Man Of No Importance, A",Drama,1994
S.F.W.,Drama,1994
"Low Down Dirty Shame, A",Action/Comedy,1994
Boys Life,Drama,1995
"Colonel Chabert, Le",Drama/Romance,1994
Faster Pussycat! Kill! Kill!,Action/Crime,1965
Jason'S Lyric,Crime/Drama,1994
"Secret Adventures Of Tom Thumb, The",Adventure/Animation,1993
Street Fighter,Action/Adventure,1994
Coldblooded,Comedy,1995
Desert Winds,Drama/Fantasy,1995
Fall Time,Drama,1995
"Fear, The",Horror,1995
Frank And Ollie,Documentary,1995
Girl In The Cadillac,Drama,1995
Homage,Drama,1995
Mirage,Action/Thriller,1995
Open Season,Comedy,1996
Brother Minister: The Assassination Of Malcolm X,Documentary,1994
Federal Hill,Drama,1994
In The Mouth Of Madness,Horror/Thriller,1995
8 Seconds,Drama,1994
Above The Rim,Crime/Drama,1994
Addams Family Values,Children/Comedy,1993
Martin Lawrence: You So Crazy,Comedy/Documentary,1994
"Age Of Innocence, The",Drama,1993
Airheads,Comedy,1994
"Air Up There, The",Comedy,1994
Another Stakeout,Comedy/Thriller,1993
Bad Girls,Western,1994
Barcelona,Comedy/Romance,1994
Being Human,Drama,1993
"Beverly Hillbillies, The",Comedy,1993
Beverly Hills Cop Iii,Action/Comedy,1994
Black Beauty,Adventure/Children,1994
Blink,Thriller,1994
Blown Away,Action/Thriller,1994
Blue Chips,Drama,1994
Blue Sky,Drama/Romance,1994
Body Snatchers,Horror/Sci-Fi,1993
Boxing Helena,Drama/Mystery,1993
"Bronx Tale, A",Drama,1993
Cabin Boy,Comedy,1994
Calendar Girl,Comedy/Drama,1993
Carlito'S Way,Crime/Drama,1993
City Slickers Ii: The Legend Of Curly'S Gold,Adventure/Comedy,1994
Clean Slate,Comedy,1994
Cliffhanger,Action/Adventure,1993
Coneheads,Comedy/Sci-Fi,1993
Color Of Night,Drama/Thriller,1994
Cops And Robbersons,Comedy,1994
"Cowboy Way, The",Action/Comedy,1994
Dangerous Game,Drama,1993
Dave,Comedy/Romance,1993
Dazed And Confused,Comedy,1993
Demolition Man,Action/Adventure,1993
"Endless Summer 2, The",Adventure/Documentary,1994
Even Cowgirls Get The Blues,Comedy/Romance,1993
Fatal Instinct,Comedy,1993
"Favor, The",Comedy/Romance,1994
Fearless,Drama,1993
Fear Of A Black Hat,Comedy,1994
With Honors,Comedy/Drama,1994
Flesh And Bone,Drama/Mystery,1993
Widows' Peak,Drama,1994
For Love Or Money,Comedy/Romance,1993
"Firm, The",Drama/Thriller,1993
Free Willy,Adventure/Children,1993
Fresh,Crime/Drama,1994
"Fugitive, The",Thriller,1993
Geronimo: An American Legend,Drama/Western,1993
"Getaway, The",Action/Adventure,1994
Getting Even With Dad,Comedy,1994
Go Fish,Drama/Romance,1994
"Good Man In Africa, A",Action/Adventure,1994
Guilty As Sin,Crime/Drama,1993
Hard Target,Action/Adventure,1993
Heaven & Earth,Action/Drama,1993
Hot Shots! Part Deux,Action/Comedy,1993
Live Nude Girls,Comedy,1995
"Englishman Who Went Up A Hill But Came Down A Mountain, The",Comedy/Romance,1995
"House Of The Spirits, The",Drama/Romance,1993
House Party 3,Comedy,1994
"Hudsucker Proxy, The",Comedy,1994
I'Ll Do Anything,Comedy/Drama,1994
In The Army Now,Comedy/War,1994
In The Line Of Fire,Action/Thriller,1993
In The Name Of The Father,Drama,1993
"Inkwell, The",Comedy/Drama,1994
What'S Love Got To Do With It?,Drama/Musical,1993
Jimmy Hollywood,Comedy/Crime,1994
Judgment Night,Action/Crime,1993
Jurassic Park,Action/Adventure,1993
Kalifornia,Drama/Thriller,1993
Killing Zoe,Crime/Drama,1994
King Of The Hill,Drama,1993
Lassie,Adventure/Children,1994
Last Action Hero,Action/Adventure,1993
Life With Mikey,Comedy,1993
Lightning Jack,Comedy/Western,1994
M. Butterfly,Drama/Romance,1993
Made In America,Comedy,1993
Malice,Thriller,1993
"Man Without A Face, The",Drama,1993
Manhattan Murder Mystery,Comedy/Mystery,1993
Menace Ii Society,Action/Crime,1993
Executive Decision,Action/Adventure,1996
What Happened Was...,Comedy/Drama,1994
Much Ado About Nothing,Comedy/Romance,1993
Mr. Jones,Drama/Romance,1993
Mr. Wonderful,Comedy/Romance,1993
Mrs. Doubtfire,Comedy/Drama,1993
Naked,Drama,1993
"Next Karate Kid, The",Action/Children,1994
"New Age, The",Drama,1994
No Escape,Action/Drama,1994
North,Comedy,1994
Orlando,Drama/Fantasy,1992
"Perfect World, A",Crime/Drama,1993
Philadelphia,Drama,1993
"Piano, The",Drama/Romance,1993
Poetic Justice,Drama,1993
"Program, The",Action/Drama,1993
"Puppet Masters, The",Horror/Sci-Fi,1994
Radioland Murders,Comedy/Mystery,1994
"Ref, The",Comedy,1994
"Remains Of The Day, The",Drama/Romance,1993
Renaissance Man,Comedy/Drama,1994
Rising Sun,Action/Drama,1993
"Road To Wellville, The",Comedy,1994
Robocop 3,Action/Crime,1993
Robin Hood: Men In Tights,Comedy,1993
Romeo Is Bleeding,Crime/Thriller,1993
Romper Stomper,Action/Drama,1992
Ruby In Paradise,Drama,1993
Rudy,Drama,1993
"Saint Of Fort Washington, The",Drama,1993
Schindler'S List,Drama/War,1993
"Scout, The",Comedy/Drama,1994
Searching For Bobby Fischer,Drama,1993
Second Best,Drama,1994
"Secret Garden, The",Children/Drama,1993
Serial Mom,Comedy/Crime,1994
"Shadow, The",Action/Adventure,1994
Shadowlands,Drama/Romance,1993
Short Cuts,Drama,1993
"Simple Twist Of Fate, A",Drama,1994
Sirens,Drama,1994
Six Degrees Of Separation,Drama,1993
Sleepless In Seattle,Comedy/Drama,1993
Sliver,Thriller,1993
Blade Runner,Action/Sci-Fi,1982
Son In Law,Comedy/Drama,1993
So I Married An Axe Murderer,Comedy/Romance,1993
Striking Distance,Action/Crime,1993
Harem,Drama,1985
Super Mario Bros.,Action/Adventure,1993
Surviving The Game,Action/Adventure,1994
Terminal Velocity,Action/Mystery,1994
Thirty-Two Short Films About Glenn Gould,Drama/Musical,1993
Threesome,Comedy/Romance,1994
"Nightmare Before Christmas, The",Animation/Children,1993
"Three Musketeers, The",Action/Adventure,1993
Tombstone,Action/Drama,1993
Trial By Jury,Crime/Drama,1994
True Romance,Crime/Thriller,1993
"War Room, The",Documentary,1993
"Pagemaster, The",Action/Adventure,1994
"Paris, France",Comedy,1993
"Beans Of Egypt, Maine, The",Drama,1994
Welcome To The Dollhouse,Comedy/Drama,1995
Germinal,Drama/Romance,1993
Chasers,Comedy,1994
Cronos,Drama/Horror,1993
Naked In New York,Comedy/Romance,1994
Kika,Comedy/Drama,1993
Bhaji On The Beach,Comedy/Drama,1993
Little Big League,Comedy/Drama,1994
"Wedding Gift, The",Drama/Romance,1994
Foreign Student,Drama,1994
Spanking The Monkey,Comedy/Drama,1994
"Little Rascals, The",Children/Comedy,1994
Fausto,Comedy,1993
Andre,Adventure/Children,1994
Princess Caraboo,Drama,1994
"Celluloid Closet, The",Documentary,1995
"Brady Bunch Movie, The",Comedy,1995
Home Alone,Children/Comedy,1990
Ghost,Comedy/Drama,1990
Aladdin,Adventure/Animation,1992
Terminator 2: Judgment Day,Action/Sci-Fi,1991
Dances With Wolves,Adventure/Drama,1990
Tough And Deadly,Action/Drama,1995
Batman,Action/Crime,1989
"Silence Of The Lambs, The",Crime/Horror,1991
Snow White And The Seven Dwarfs,Animation/Children,1937
Beauty And The Beast,Animation/Children,1991
Pinocchio,Animation/Children,1940
Pretty Woman,Comedy/Romance,1990
"Wild Bunch, The",Adventure/Western,1969
Love And A .45,Action/Comedy,1994
"Great Day In Harlem, A",Documentary,1994
"Bye Bye, Love",Comedy,1995
Criminals,Documentary,1996
One Fine Day,Drama/Romance,1996
Candyman: Farewell To The Flesh,Fantasy/Horror,1995
Century,Drama,1993
Fargo,Comedy/Crime,1996
Homeward Bound Ii: Lost In San Francisco,Adventure/Children,1996
Heavy Metal,Action/Adventure,1981
Hellraiser: Bloodline,Action/Horror,1996
"Pallbearer, The",Comedy,1996
Jane Eyre,Drama/Romance,1996
Loaded,Drama/Thriller,1994
"Aristocats, The",Animation/Children,1970
Two Much,Comedy/Romance,1995
Ed,Comedy,1996
My Favorite Season,Drama,1993
"Modern Affair, A",Romance,1995
Asfour Stah,Drama,1990
"Thin Line Between Love And Hate, A",Comedy,1996
"Last Supper, The",Drama/Thriller,1995
Primal Fear,Crime/Drama,1996
Rude,Drama,1995
Carried Away,Drama/Romance,1996
All Dogs Go To Heaven 2,Adventure/Animation,1996
Denise Calls Up,Comedy,1995
Theodore Rex,Comedy,1995
"Family Thing, A",Comedy/Drama,1996
Frisk,Drama,1995
Sgt. Bilko,Comedy,1996
Jack And Sarah,Romance,1995
Girl 6,Comedy/Drama,1996
Diabolique,Drama/Thriller,1996
Roula,Drama,1995
Peanuts - Die Bank Zahlt Alles,Comedy,1996
Happy Weekend,Comedy,1996
Nelly & Monsieur Arnaud,Drama,1995
Courage Under Fire,Action/Crime,1996
Mission: Impossible,Action/Adventure,1996
Moll Flanders,Drama,1996
"Superweib, Das",Comedy,1996
Dragonheart,Action/Adventure,1996
Eddie,Comedy,1996
Yankee Zulu,Comedy/Drama,1994
Billy'S Holiday,Drama/Musical,1995
August,Drama,1996
James And The Giant Peach,Adventure/Animation,1996
Fear,Thriller,1996
Kids In The Hall: Brain Candy,Comedy,1996
Faithful,Comedy,1996
Underground,Comedy/Drama,1995
Mystery Science Theater 3000: The Movie,Comedy/Sci-Fi,1996
Tarantella,Drama,1995
Space Jam,Adventure/Animation,1996
Barbarella,Adventure/Comedy,1968
Hostile Intentions,Action/Drama,1994
They Bite,Comedy/Horror,1996
Some Folks Call It A Sling Blade,Drama/Thriller,1993
"Run Of The Country, The",Drama,1995
Tigrero: A Film That Was Never Made,Documentary/Drama,1994
Windows,Drama,1980
It'S My Party,Drama,1996
Country Life,Drama/Romance,1994
Operation Dumbo Drop,Action/Adventure,1995
Mrs. Winterbourne,Comedy/Romance,1996
Solo,Action/Sci-Fi,1996
"Substitute, The",Action/Crime,1996
True Crime,Mystery/Thriller,1996
Butterfly Kiss,Drama/Thriller,1995
Feeling Minnesota,Drama/Romance,1996
Delta Of Venus,Drama,1995
To Cross The Rubicon,Drama,1991
Angus,Comedy,1995
Daens,Drama,1992
Faces,Drama,1968
Boys,Drama,1996
"Quest, The",Action/Adventure,1996
Cosi,Comedy,1996
Sunset Park,Drama,1996
Mulholland Falls,Crime/Drama,1996
"Truth About Cats & Dogs, The",Comedy/Romance,1996
Oliver & Company,Adventure/Animation,1988
Celtic Pride,Comedy,1996
Flipper,Adventure/Children,1996
Captives,Crime/Drama,1994
Of Love And Shadows,Drama,1994
Dead Man,Drama/Mystery,1995
Switchblade Sisters,Crime,1975
Multiplicity,Comedy,1996
Wallace & Gromit: The Best Of Aardman Animation,Adventure/Animation,1996
"Haunted World Of Edward D. Wood Jr., The",Documentary,1996
Two Friends,Drama,1986
"Craft, The",Drama/Fantasy,1996
"Great White Hype, The",Comedy,1996
Last Dance,Drama,1996
War Stories,Documentary,1995
Cold Comfort Farm,Comedy,1995
"Institute Benjamenta, Or This Dream People Call Human Life",Drama,1995
Low Life,Drama,1994
Heaven'S Prisoners,Crime/Thriller,1996
Original Gangstas,Crime,1996
"Rock, The",Action/Adventure,1996
Getting Away With Murder,Comedy,1996
Twister,Action/Adventure,1996
Barb Wire,Action/Sci-Fi,1996
"Garçu, Le",Drama,1995
Thinner,Horror/Thriller,1996
Spy Hard,Comedy,1996
Brothers In Trouble,Drama,1995
Wallace & Gromit: A Close Shave,Animation/Children,1995
Force Of Evil,Film-Noir,1948
"Stupids, The",Comedy,1996
"Arrival, The",Action/Sci-Fi,1996
"Man From Down Under, The",Drama,1943
Dr. Strangelove Or: How I Learned To Stop Worrying And Love The Bomb,Comedy/War,1964
Careful,Comedy/Horror,1992
Vermont Is For Lovers,Comedy/Documentary,1992
"Month By The Lake, A",Comedy/Drama,1995
Gold Diggers: The Secret Of Bear Mountain,Adventure/Children,1995
Kim,Children/Drama,1950
Carmen Miranda: Bananas Is My Business,Documentary,1994
Maya Lin: A Strong Clear Vision,Documentary,1994
Stalingrad,Drama/War,1993
"Phantom, The",Action/Adventure,1996
Striptease,Comedy/Crime,1996
Heavy,Drama/Romance,1995
Jack,Comedy/Drama,1996
I Shot Andy Warhol,Drama,1996
"Grass Harp, The",Comedy/Drama,1995
Someone Else'S America,Drama,1995
Marlene Dietrich: Shadow And Light,Documentary,1996
Costa Brava,Drama,1946
Quartier Mozart,Comedy,1992
Touki Bouki,Drama,1973
Spirits Of The Dead,Horror/Mystery,1968
Babyfever,Comedy/Drama,1994
Pharaoh'S Army,War,1995
Trainspotting,Comedy/Crime,1996
'Til There Was You,Drama/Romance,1997
Stealing Beauty,Drama,1996
"Fan, The",Drama/Thriller,1996
"Hunchback Of Notre Dame, The",Animation/Children,1996
"Cable Guy, The",Comedy/Thriller,1996
Kingpin,Comedy,1996
Eraser,Action/Drama,1996
"Gate Of Heavenly Peace, The",Documentary,1995
"Nutty Professor, The",Comedy/Fantasy,1996
"Last Klezmer: Leopold Kozlowski, His Life And Music, The",Documentary,1994
Somebody To Love,Drama,1994
"Very Natural Thing, A",Drama,1974
Daylight,Action/Adventure,1996
"Frighteners, The",Comedy/Horror,1996
Lone Star,Drama/Mystery,1996
Harriet The Spy,Children/Comedy,1996
Phenomenon,Drama/Romance,1996
Walking And Talking,Comedy/Drama,1996
She'S The One,Comedy/Romance,1996
"Time To Kill, A",Drama/Thriller,1996
American Buffalo,Crime/Drama,1996
Alaska,Adventure/Children,1996
Fled,Action/Adventure,1996
Kazaam,Children/Comedy,1996
Larger Than Life,Comedy,1996
"Boy Called Hate, A",Drama,1995
Power 98,Action/Mystery,1996
Two Deaths,Drama,1995
"Very Brady Sequel, A",Comedy,1996
Stefano Quantestorie,Comedy/Drama,1993
"Crude Oasis, The",Drama/Romance,1995
Hedd Wyn,Drama/Romance,1992
Kaspar Hauser,Drama/Mystery,1993
"Adventures Of Pinocchio, The",Adventure/Children,1996
Joe'S Apartment,Comedy/Fantasy,1996
"First Wives Club, The",Comedy,1996
Stonewall,Drama,1995
Ransom,Crime/Thriller,1996
High School High,Comedy,1996
Phat Beach,Comedy,1996
Foxfire,Drama,1996
Chain Reaction,Action/Adventure,1996
Matilda,Children/Comedy,1996
Emma,Comedy/Drama,1996
"Crow: City Of Angels, The",Action/Thriller,1996
House Arrest,Children/Comedy,1996
Tales From The Crypt Presents: Bordello Of Blood,Comedy/Horror,1996
Lotto Land,Drama,1995
Flirt,Drama,1995
"Big Squeeze, The",Comedy/Drama,1996
"Spitfire Grill, The",Drama,1996
Escape From L.A.,Action/Adventure,1996
Basquiat,Drama,1996
Tin Cup,Comedy/Drama,1996
Dingo,Drama,1991
Mille Bolle Blu,Comedy,1993
"Godfather, The",Crime/Drama,1972
"Hippie Revolution, The",Documentary,1996
