Rooms,Type,Price,Bathroom,Landsize,YearBuilt,Regionname,h,t,u,Eastern Metropolitan,Eastern Victoria,Northern Metropolitan,Northern Victoria,South-Eastern Metropolitan,Southern Metropolitan,Western Metropolitan,Western Victoria
2,h,1100000.0,2.0,124.0,2013.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
2,h,1315000.0,1.0,147.0,1900.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
1,u,480000.0,2.0,521.0,1970.0,Northern Metropolitan,0,0,1,0,0,1,0,0,0,0,0
1,u,423500.0,2.0,521.0,1970.0,Northern Metropolitan,0,0,1,0,0,1,0,0,0,0,0
4,h,1050173.344955408,2.0,521.0,1970.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
1,u,426000.0,1.0,0.0,1970.0,Northern Metropolitan,0,0,1,0,0,1,0,0,0,0,0
3,h,1447500.0,3.0,166.0,2012.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
1,u,457000.0,1.0,0.0,1970.0,Northern Metropolitan,0,0,1,0,0,1,0,0,0,0,0
2,h,1135000.0,2.0,98.0,1920.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
2,h,700000.0,2.0,521.0,1970.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
4,h,1542000.0,3.0,0.0,1970.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
3,t,962000.0,2.0,521.0,1970.0,Northern Metropolitan,0,1,0,0,0,1,0,0,0,0,0
3,h,1290000.0,2.0,147.0,1970.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
3,h,1290000.0,1.0,168.0,1950.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
1,u,470000.0,1.0,0.0,2013.0,Northern Metropolitan,0,0,1,0,0,1,0,0,0,0,0
2,h,1180000.0,1.0,162.0,1900.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
3,h,1195000.0,2.0,120.0,1998.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
2,u,1050173.344955408,2.0,521.0,1970.0,Northern Metropolitan,0,0,1,0,0,1,0,0,0,0,0
2,h,1012500.0,1.0,182.0,1900.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
2,u,970000.0,2.0,521.0,1970.0,Northern Metropolitan,0,0,1,0,0,1,0,0,0,0,0
2,h,1030000.0,1.0,172.0,1930.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
4,h,1050173.344955408,2.0,521.0,1970.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
3,h,927000.0,2.0,521.0,1970.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
3,t,840000.0,2.0,303.0,2016.0,Western Metropolitan,0,1,0,0,0,0,0,0,0,1,0
3,h,730000.0,2.0,0.0,1965.0,Western Metropolitan,1,0,0,0,0,0,0,0,0,1,0
3,h,770000.0,2.0,0.0,1965.0,Western Metropolitan,1,0,0,0,0,0,0,0,0,1,0
3,h,1050173.344955408,1.0,580.0,1960.0,Western Metropolitan,1,0,0,0,0,0,0,0,0,1,0
2,h,603000.0,1.0,272.0,1950.0,Western Metropolitan,1,0,0,0,0,0,0,0,0,1,0
3,t,700000.0,2.0,239.0,2009.0,Western Metropolitan,0,1,0,0,0,0,0,0,0,1,0
3,h,600000.0,1.0,290.0,1980.0,Western Metropolitan,1,0,0,0,0,0,0,0,0,1,0
2,u,500000.0,1.0,168.0,2011.0,Western Metropolitan,0,0,1,0,0,0,0,0,0,1,0
2,t,420000.0,2.0,521.0,1970.0,Western Metropolitan,0,1,0,0,0,0,0,0,0,1,0
3,t,500000.0,2.0,521.0,1970.0,Western Metropolitan,0,1,0,0,0,0,0,0,0,1,0
5,h,1035000.0,2.0,521.0,1970.0,Western Metropolitan,1,0,0,0,0,0,0,0,0,1,0
4,h,960000.0,2.0,521.0,1970.0,Western Metropolitan,1,0,0,0,0,0,0,0,0,1,0
4,h,960000.0,2.0,521.0,1970.0,Western Metropolitan,1,0,0,0,0,0,0,0,0,1,0
3,h,720000.0,1.0,620.0,1970.0,Western Metropolitan,1,0,0,0,0,0,0,0,0,1,0
4,h,785000.0,1.0,597.0,1970.0,Western Metropolitan,1,0,0,0,0,0,0,0,0,1,0
6,h,725000.0,3.0,976.0,1980.0,Western Metropolitan,1,0,0,0,0,0,0,0,0,1,0
2,t,450000.0,1.0,110.0,2015.0,Western Metropolitan,0,1,0,0,0,0,0,0,0,1,0
2,u,515000.0,1.0,141.0,2013.0,Western Metropolitan,0,0,1,0,0,0,0,0,0,1,0
3,h,680000.0,2.0,521.0,1970.0,Western Metropolitan,1,0,0,0,0,0,0,0,0,1,0
2,u,530000.0,1.0,120.0,2012.0,Western Metropolitan,0,0,1,0,0,0,0,0,0,1,0
3,h,895000.0,1.0,1063.0,1975.0,Western Metropolitan,1,0,0,0,0,0,0,0,0,1,0
3,u,600000.0,2.0,521.0,1970.0,Western Metropolitan,0,0,1,0,0,0,0,0,0,1,0
3,h,805000.0,1.0,0.0,1950.0,Western Metropolitan,1,0,0,0,0,0,0,0,0,1,0
3,t,760000.0,2.0,521.0,1970.0,Western Metropolitan,0,1,0,0,0,0,0,0,0,1,0
3,u,752000.0,1.0,265.0,1993.0,Western Metropolitan,0,0,1,0,0,0,0,0,0,1,0
3,u,580000.0,2.0,521.0,1970.0,Western Metropolitan,0,0,1,0,0,0,0,0,0,1,0
3,h,725000.0,2.0,521.0,1970.0,Western Metropolitan,1,0,0,0,0,0,0,0,0,1,0
4,h,758000.0,2.0,521.0,1970.0,Western Metropolitan,1,0,0,0,0,0,0,0,0,1,0
2,u,440000.0,1.0,192.0,1970.0,Western Metropolitan,0,0,1,0,0,0,0,0,0,1,0
3,h,970000.0,2.0,521.0,1970.0,Western Metropolitan,1,0,0,0,0,0,0,0,0,1,0
5,h,755000.0,2.0,596.0,1970.0,Western Metropolitan,1,0,0,0,0,0,0,0,0,1,0
4,h,985000.0,2.0,521.0,1970.0,Western Metropolitan,1,0,0,0,0,0,0,0,0,1,0
3,t,700000.0,2.0,165.0,2009.0,Western Metropolitan,0,1,0,0,0,0,0,0,0,1,0
2,u,509500.0,2.0,521.0,1970.0,Western Metropolitan,0,0,1,0,0,0,0,0,0,1,0
3,h,830000.0,1.0,971.0,1960.0,Western Metropolitan,1,0,0,0,0,0,0,0,0,1,0
2,u,462500.0,1.0,164.0,2003.0,Western Metropolitan,0,0,1,0,0,0,0,0,0,1,0
3,h,670000.0,2.0,657.0,1970.0,Western Metropolitan,1,0,0,0,0,0,0,0,0,1,0
2,h,675000.0,1.0,612.0,1975.0,Western Metropolitan,1,0,0,0,0,0,0,0,0,1,0
3,h,1042000.0,2.0,612.0,1950.0,Western Metropolitan,1,0,0,0,0,0,0,0,0,1,0
3,h,910000.0,1.0,775.0,1970.0,Western Metropolitan,1,0,0,0,0,0,0,0,0,1,0
4,h,773000.0,3.0,531.0,1980.0,Western Metropolitan,1,0,0,0,0,0,0,0,0,1,0
3,h,715000.0,2.0,521.0,1970.0,Western Metropolitan,1,0,0,0,0,0,0,0,0,1,0
3,h,810000.0,3.0,555.0,1980.0,Western Metropolitan,1,0,0,0,0,0,0,0,0,1,0
3,h,715000.0,2.0,422.0,1995.0,Western Metropolitan,1,0,0,0,0,0,0,0,0,1,0
3,h,790000.0,1.0,614.0,1970.0,Western Metropolitan,1,0,0,0,0,0,0,0,0,1,0
2,t,460000.0,2.0,521.0,1970.0,Western Metropolitan,0,1,0,0,0,0,0,0,0,1,0
3,t,540000.0,2.0,161.0,2010.0,Western Metropolitan,0,1,0,0,0,0,0,0,0,1,0
3,t,825000.0,2.0,293.0,1960.0,Western Metropolitan,0,1,0,0,0,0,0,0,0,1,0
3,h,685000.0,1.0,579.0,1975.0,Western Metropolitan,1,0,0,0,0,0,0,0,0,1,0
3,u,445000.0,2.0,521.0,1970.0,Western Metropolitan,0,0,1,0,0,0,0,0,0,1,0
3,h,805000.0,1.0,623.0,1970.0,Western Metropolitan,1,0,0,0,0,0,0,0,0,1,0
2,u,510000.0,1.0,141.0,1970.0,Western Metropolitan,0,0,1,0,0,0,0,0,0,1,0
3,h,612000.0,2.0,212.0,1970.0,Western Metropolitan,1,0,0,0,0,0,0,0,0,1,0
3,h,662000.0,1.0,612.0,1970.0,Western Metropolitan,1,0,0,0,0,0,0,0,0,1,0
4,h,978000.0,3.0,532.0,1970.0,Western Metropolitan,1,0,0,0,0,0,0,0,0,1,0
3,u,1050173.344955408,2.0,521.0,1970.0,Western Metropolitan,0,0,1,0,0,0,0,0,0,1,0
3,h,720000.0,1.0,585.0,1970.0,Western Metropolitan,1,0,0,0,0,0,0,0,0,1,0
2,u,474000.0,2.0,521.0,1970.0,Western Metropolitan,0,0,1,0,0,0,0,0,0,1,0
2,t,490000.0,2.0,521.0,1970.0,Western Metropolitan,0,1,0,0,0,0,0,0,0,1,0
3,h,405000.0,2.0,521.0,1970.0,Western Metropolitan,1,0,0,0,0,0,0,0,0,1,0
3,t,715000.0,2.0,521.0,1970.0,Western Metropolitan,0,1,0,0,0,0,0,0,0,1,0
3,u,671500.0,2.0,521.0,1970.0,Western Metropolitan,0,0,1,0,0,0,0,0,0,1,0
4,h,765000.0,1.0,509.0,1970.0,Western Metropolitan,1,0,0,0,0,0,0,0,0,1,0
4,h,900000.0,2.0,628.0,1975.0,Western Metropolitan,1,0,0,0,0,0,0,0,0,1,0
3,u,820000.0,2.0,521.0,1970.0,Western Metropolitan,0,0,1,0,0,0,0,0,0,1,0
3,u,650000.0,2.0,521.0,1970.0,Western Metropolitan,0,0,1,0,0,0,0,0,0,1,0
3,t,552000.0,2.0,521.0,1970.0,Western Metropolitan,0,1,0,0,0,0,0,0,0,1,0
2,h,1275000.0,1.0,120.0,1900.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
2,h,1455000.0,1.0,159.0,1970.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
3,h,2850000.0,2.0,211.0,1890.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
3,h,1850000.0,2.0,128.0,1890.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
2,h,1050173.344955408,1.0,215.0,1900.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
2,h,1436000.0,1.0,130.0,1900.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
3,h,1050173.344955408,2.0,336.0,1890.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
2,h,1110000.0,1.0,147.0,1900.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
2,h,1550000.0,1.0,167.0,1970.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
4,h,2300000.0,2.0,153.0,1880.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
3,h,1050173.344955408,1.0,316.0,1880.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
3,t,1550000.0,2.0,718.0,1970.0,Southern Metropolitan,0,1,0,0,0,0,0,0,1,0,0
3,h,1800000.0,2.0,132.0,1996.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
3,h,2485000.0,2.0,521.0,1970.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
2,h,2120000.0,1.0,199.0,1900.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
3,h,1800000.0,1.0,253.0,1970.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
3,h,1800000.0,2.0,90.0,1900.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
3,h,1050173.344955408,1.0,126.0,1910.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
2,h,1810000.0,1.0,240.0,1970.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
3,h,2615000.0,2.0,177.0,1880.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
5,h,2100000.0,2.0,237.0,1970.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
3,h,1300000.0,1.0,129.0,1970.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
3,h,1370000.0,2.0,0.0,2000.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
2,h,1000000.0,1.0,288.0,1970.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
2,h,1050173.344955408,1.0,366.0,1900.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
3,h,2575000.0,2.0,228.0,1970.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
2,h,1322500.0,1.0,149.0,1890.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
2,h,1050173.344955408,1.0,152.0,1970.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
2,h,1562500.0,1.0,141.0,1890.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
3,h,2000000.0,2.0,211.0,1900.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
4,h,1050173.344955408,1.0,236.0,1970.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
3,h,1050173.344955408,1.0,300.0,1970.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
3,h,1900000.0,1.0,209.0,1900.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
3,h,3010000.0,2.0,147.0,1890.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
3,h,1050173.344955408,1.0,173.0,1970.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
4,h,2800000.0,3.0,327.0,1910.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
3,h,1050173.344955408,1.0,169.0,1970.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
2,u,647000.0,1.0,0.0,1970.0,Southern Metropolitan,0,0,1,0,0,0,0,0,1,0,0
3,h,1050173.344955408,2.0,122.0,1970.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
3,h,2100000.0,1.0,120.0,1900.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
3,h,1050173.344955408,2.0,241.0,1990.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
2,h,1050173.344955408,2.0,225.0,1970.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
7,h,1050173.344955408,7.0,435.0,1970.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
3,h,2000000.0,1.0,238.0,1890.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
1,u,442500.0,1.0,0.0,1970.0,Southern Metropolitan,0,0,1,0,0,0,0,0,1,0,0
4,h,4735000.0,2.0,330.0,1910.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
2,h,1340000.0,1.0,136.0,1970.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
3,h,1801000.0,1.0,202.0,1970.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
3,h,1532000.0,3.0,0.0,1970.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
3,h,3755000.0,2.0,325.0,1970.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
4,h,2140000.0,2.0,183.0,1880.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
2,u,1810000.0,2.0,521.0,1970.0,Southern Metropolitan,0,0,1,0,0,0,0,0,1,0,0
2,h,1750000.0,1.0,162.0,1970.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
2,h,980000.0,1.0,79.0,1890.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
2,h,1050173.344955408,1.0,99.0,1900.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
4,h,1050173.344955408,2.0,230.0,1900.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
3,h,1050173.344955408,2.0,141.0,1970.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
3,h,2030000.0,2.0,152.0,1970.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
3,h,1740000.0,2.0,147.0,1890.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
3,h,2800000.0,3.0,0.0,1970.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
1,h,985000.0,1.0,81.0,1900.0,Southern Metropolitan,1,0,0,0,0,0,0,0,1,0,0
3,h,1050173.344955408,2.0,174.0,2003.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
4,h,2000000.0,2.0,853.0,1930.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
3,h,1110000.0,2.0,208.0,2013.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
3,h,1492000.0,2.0,411.0,1970.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
2,u,480000.0,2.0,521.0,1970.0,Northern Metropolitan,0,0,1,0,0,1,0,0,0,0,0
3,h,1050173.344955408,1.0,922.0,1970.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
3,t,1304000.0,2.0,521.0,1970.0,Northern Metropolitan,0,1,0,0,0,1,0,0,0,0,0
4,h,1717500.0,2.0,599.0,1925.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
5,h,2840000.0,4.0,809.0,1910.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
5,h,1050173.344955408,3.0,743.0,1915.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
2,u,525500.0,1.0,88.0,1960.0,Northern Metropolitan,0,0,1,0,0,1,0,0,0,0,0
2,t,805000.0,2.0,155.0,2004.0,Northern Metropolitan,0,1,0,0,0,1,0,0,0,0,0
2,u,465000.0,1.0,0.0,1970.0,Northern Metropolitan,0,0,1,0,0,1,0,0,0,0,0
4,t,1050173.344955408,2.0,521.0,1970.0,Northern Metropolitan,0,1,0,0,0,1,0,0,0,0,0
3,h,1480000.0,2.0,521.0,1970.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
3,h,2000000.0,3.0,686.0,1970.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
3,h,1540000.0,1.0,592.0,1970.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
4,h,1050173.344955408,2.0,521.0,1970.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
2,u,590000.0,2.0,521.0,1970.0,Northern Metropolitan,0,0,1,0,0,1,0,0,0,0,0
2,u,820000.0,1.0,183.0,1970.0,Northern Metropolitan,0,0,1,0,0,1,0,0,0,0,0
4,h,1830000.0,2.0,606.0,1970.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
4,h,2100000.0,2.0,575.0,2008.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
3,h,865000.0,1.0,180.0,2010.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
2,u,390000.0,1.0,0.0,1960.0,Northern Metropolitan,0,0,1,0,0,1,0,0,0,0,0
2,t,650000.0,1.0,0.0,1970.0,Northern Metropolitan,0,1,0,0,0,1,0,0,0,0,0
2,u,512000.0,1.0,0.0,1965.0,Northern Metropolitan,0,0,1,0,0,1,0,0,0,0,0
3,h,1361000.0,2.0,521.0,1970.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
4,h,1050173.344955408,2.0,597.0,1970.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
3,h,1310000.0,2.0,521.0,1970.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
3,h,570000.0,2.0,521.0,1970.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
3,h,1165000.0,1.0,979.0,1970.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
2,u,530000.0,2.0,521.0,1970.0,Northern Metropolitan,0,0,1,0,0,1,0,0,0,0,0
4,h,1900000.0,2.0,556.0,1930.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
5,h,1050173.344955408,2.0,552.0,1916.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
3,h,1485000.0,0.0,597.0,1970.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
4,h,1950000.0,2.0,589.0,1920.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
3,h,520000.0,2.0,352.0,2015.0,Western Metropolitan,1,0,0,0,0,0,0,0,0,1,0
5,h,1525000.0,3.0,729.0,2005.0,Western Metropolitan,1,0,0,0,0,0,0,0,0,1,0
2,t,720000.0,1.0,292.0,2013.0,Western Metropolitan,0,1,0,0,0,0,0,0,0,1,0
3,h,1120000.0,1.0,506.0,1930.0,Western Metropolitan,1,0,0,0,0,0,0,0,0,1,0
4,h,780000.0,1.0,655.0,1970.0,Western Metropolitan,1,0,0,0,0,0,0,0,0,1,0
4,h,1780000.0,3.0,1057.0,1962.0,Western Metropolitan,1,0,0,0,0,0,0,0,0,1,0
3,u,630000.0,1.0,311.0,1955.0,Western Metropolitan,0,0,1,0,0,0,0,0,0,1,0
2,u,406000.0,1.0,65.0,1970.0,Western Metropolitan,0,0,1,0,0,0,0,0,0,1,0
3,h,660000.0,1.0,602.0,1955.0,Western Metropolitan,1,0,0,0,0,0,0,0,0,1,0
3,h,683500.0,1.0,530.0,1970.0,Western Metropolitan,1,0,0,0,0,0,0,0,0,1,0
2,u,540000.0,2.0,521.0,1970.0,Western Metropolitan,0,0,1,0,0,0,0,0,0,1,0
2,u,580000.0,1.0,225.0,1988.0,Western Metropolitan,0,0,1,0,0,0,0,0,0,1,0
3,h,1335000.0,1.0,777.0,1953.0,Western Metropolitan,1,0,0,0,0,0,0,0,0,1,0
3,t,800000.0,2.0,280.0,1997.0,Western Metropolitan,0,1,0,0,0,0,0,0,0,1,0
2,u,510000.0,1.0,127.0,1990.0,Western Metropolitan,0,0,1,0,0,0,0,0,0,1,0
4,h,1070000.0,2.0,695.0,1970.0,Western Metropolitan,1,0,0,0,0,0,0,0,0,1,0
2,u,425000.0,1.0,115.0,1980.0,Western Metropolitan,0,0,1,0,0,0,0,0,0,1,0
3,u,605000.0,2.0,230.0,1970.0,Western Metropolitan,0,0,1,0,0,0,0,0,0,1,0
3,t,705000.0,2.0,197.0,1970.0,Western Metropolitan,0,1,0,0,0,0,0,0,0,1,0
2,u,391000.0,1.0,0.0,1965.0,Western Metropolitan,0,0,1,0,0,0,0,0,0,1,0
2,u,440000.0,1.0,0.0,1970.0,Western Metropolitan,0,0,1,0,0,0,0,0,0,1,0
4,h,845000.0,1.0,745.0,1950.0,Western Metropolitan,1,0,0,0,0,0,0,0,0,1,0
