id,zipcode,sqft,bedrooms,bathrooms,floors,year_built,lot_size,garage_spaces,has_pool,has_fireplace,condition,heating_type,hoa_fee,days_on_market,walk_score,crime_rate,price,price_per_sqft,age,is_new
23,75010,1535,1,2.3,2,1989,994,2,1,1,2,Electric,0.0,123,61.0,39.9,734408,478.44,36,0
24,75009,2436,8,1.9,1,2002,8364,2,0,1,4,Gas,566.92,138,44.8,53.8,605575,248.59,23,0
25,75010,1358,2,4.2,2,1951,2866,1,0,0,5,Gas,542.83,124,48.9,45.8,617568,454.76,74,0
26,75006,2466,2,3.2,2,2000,6795,1,0,1,3,Gas,0.0,64,85.4,42.4,785952,318.72,25,0
27,75006,1424,1,2.6,1,1952,11321,2,0,1,5,Gas,0.0,137,72.1,42.3,541729,380.43,73,0
28,75002,1567,1,2.1,1,1968,1828,2,0,0,3,None,195.39,25,72.1,31.6,487816,311.31,57,0
29,75002,400,1,4.0,2,1999,8982,2,0,1,2,Gas,721.48,11,85.4,48.1,271421,678.55,26,0
30,75009,1906,5,1.6,2,1995,13686,1,0,0,4,Electric,0.0,137,52.2,55.2,546105,286.52,30,0
31,75001,2114,5,1.6,2,2005,3948,1,0,0,4,Solar,0.0,55,71.6,55.3,921270,435.79,20,0
32,75007,2496,4,1.6,2,1960,7679,2,0,0,4,Gas,0.0,94,69.8,60.4,660469,264.61,65,0
33,75007,2787,4,1.0,2,2016,7370,3,0,1,3,Gas,0.0,17,90.6,18.0,729084,261.6,9,0
34,75007,1106,3,2.5,2,1996,9517,1,1,0,2,Gas,0.0,196,64.7,30.3,399294,361.03,29,0
35,75007,2591,5,2.0,2,2015,4042,2,0,1,5,Gas,0.0,102,54.7,35.7,846334,326.64,10,0
36,75006,1722,4,1.7,2,1990,3970,1,0,1,4,Electric,0.0,152,83.3,46.6,538497,312.72,35,0
37,75007,1957,3,3.7,1,2010,11339,1,0,1,4,Electric,640.31,7,56.7,21.6,632012,322.95,15,0
38,75013,1937,1,2.1,1,2016,5780,0,0,1,3,Gas,0.0,138,46.3,66.2,769657,397.34,9,0
39,75013,1730,5,2.9,1,2015,3760,2,0,0,5,Gas,0.0,55,71.8,52.2,776390,448.78,10,0
40,75009,1466,4,2.7,2,1952,9351,2,0,1,4,Gas,0.0,118,51.3,46.4,447885,305.52,73,0
41,75009,2168,5,2.4,2,2022,5899,1,0,0,3,Gas,0.0,195,56.5,64.4,520034,239.87,3,1
42,75001,2487,6,3.8,1,2019,8867,2,0,0,3,Electric,0.0,119,68.6,81.7,832573,334.77,6,0
43,75006,1244,6,2.4,1,1999,10258,2,0,0,3,Gas,0.0,88,63.5,41.8,467142,375.52,26,0
44,75007,1988,5,1.6,1,2016,10839,1,0,0,3,Electric,60.3,87,70.4,20.1,590624,297.09,9,0
45,75013,1623,7,2.8,1,1961,5948,1,0,0,3,Electric,0.0,50,58.2,35.1,711199,438.2,64,0
46,75002,2658,4,2.9,2,1966,7762,1,0,0,3,Electric,709.23,109,79.5,27.7,818786,308.05,59,0
47,75007,2296,3,3.4,1,2016,2198,1,0,1,3,Electric,0.0,86,49.1,48.7,684488,298.12,9,0
48,75013,2905,1,3.6,1,2010,8747,2,0,1,4,Gas,0.0,95,62.4,55.2,1282783,441.58,15,0
49,75009,1071,4,2.7,2,2016,9406,2,0,1,3,Electric,0.0,185,59.0,59.7,339431,316.93,9,0
50,75009,2621,5,1.8,2,1979,10176,1,0,1,3,Solar,0.0,19,74.8,21.8,766940,292.61,46,0
51,75001,2098,4,3.4,1,1953,6980,1,0,0,4,Solar,0.0,165,50.0,37.8,966187,460.53,72,0
52,75010,1565,5,1.4,1,2023,6375,0,0,0,4,Electric,0.0,73,51.7,51.9,673134,430.12,2,1
53,75009,2294,7,3.2,1,2009,7766,1,0,0,2,Gas,0.0,91,58.8,65.4,545394,237.75,16,0
54,75009,2940,3,2.6,2,2024,9911,2,0,0,2,Solar,0.0,67,48.1,47.3,631614,214.83,1,1
55,75006,2963,1,3.4,2,1967,8364,2,0,0,4,Gas,0.0,188,74.5,37.1,1017616,343.44,58,0
56,75006,2493,5,1.8,1,1957,4192,3,0,0,4,Gas,0.0,30,67.9,87.5,761485,305.45,68,0
57,75007,1405,2,2.9,1,1983,6385,0,0,0,3,Solar,0.0,76,69.5,74.5,468715,333.6,42,0
58,75010,2186,6,2.1,1,1951,10437,1,0,1,2,Gas,0.0,57,47.3,34.0,869553,397.78,74,0
59,75013,2205,3,2.4,2,1970,5494,2,0,1,4,Electric,0.0,4,54.9,39.0,910559,412.95,55,0
60,75009,2745,3,4.4,1,2013,10129,2,0,1,3,Electric,0.0,84,54.8,43.5,695697,253.44,12,0
61,75010,1901,4,3.6,1,1974,7529,3,0,0,4,Gas,0.0,118,50.0,30.4,844936,444.47,51,0
62,75009,2009,1,2.5,2,2016,4399,2,1,0,4,Gas,0.0,158,46.3,28.4,501914,249.83,9,0
63,75009,1608,6,3.1,1,2012,10170,3,0,0,3,Gas,0.0,10,27.3,55.4,410525,255.3,13,0
64,75010,2401,3,2.0,1,2018,7302,1,0,1,5,Solar,0.0,99,68.1,42.1,854278,355.8,7,0
65,75010,1871,5,2.6,1,1971,2935,1,0,1,3,Electric,0.0,15,71.0,40.7,769381,411.21,54,0
66,75001,2112,6,1.0,1,1987,7457,1,0,0,3,Gas,0.0,197,58.4,62.7,796693,377.22,38,0
67,75010,1718,1,1.7,2,1991,12611,0,0,0,4,None,0.0,24,60.3,20.3,769358,447.82,34,0
68,75002,2028,4,2.3,1,2002,3596,3,0,1,5,Gas,0.0,12,70.7,33.5,820377,404.53,23,0
69,75002,1352,5,1.6,2,1989,5849,2,0,0,2,Gas,0.0,141,41.3,34.1,563971,417.14,36,0
70,75009,2097,3,1.5,1,1984,2024,2,1,0,3,None,0.0,11,63.7,37.6,531478,253.45,41,0
71,75001,1638,2,4.4,2,1950,8072,0,0,0,4,Electric,0.0,46,42.5,43.4,551811,336.88,75,0
72,75013,2420,1,2.8,2,1987,7492,1,0,1,5,Solar,0.0,26,80.9,34.6,1034030,427.29,38,0
73,75009,3108,2,2.3,1,1988,3202,1,0,1,3,Electric,737.95,106,48.8,6.2,628964,202.37,37,0
74,75010,2507,2,2.4,1,1989,5351,1,0,1,4,Electric,0.0,137,82.9,56.9,901598,359.63,36,0
75,75001,1328,2,3.2,1,1956,4164,1,0,0,3,Gas,0.0,113,59.2,2.0,521664,392.82,69,0
76,75009,1784,1,2.5,2,1971,4352,2,0,0,1,Electric,0.0,152,87.8,38.1,394633,221.21,54,0
77,75009,1034,3,2.4,2,1955,10055,2,0,1,3,Gas,0.0,173,48.9,12.5,266921,258.14,70,0
78,75002,2008,4,1.8,1,1996,4725,1,0,0,3,Electric,628.13,37,37.8,3.7,710933,354.05,29,0
79,75002,935,3,2.2,2,2016,5257,1,0,1,3,Electric,418.26,111,74.5,55.1,423953,453.43,9,0
80,75010,1279,8,2.3,2,2002,9679,0,0,0,4,Electric,118.14,114,78.1,12.6,686612,536.84,23,0
81,75006,2658,3,3.8,1,2024,6331,1,0,0,5,Electric,548.35,10,61.9,59.8,791057,297.61,1,1
82,75010,2517,4,3.6,2,1952,7892,2,0,1,5,Electric,0.0,195,53.9,45.6,880328,349.75,73,0
83,75009,1088,3,3.8,2,1990,3975,2,0,0,3,Solar,598.53,60,74.0,58.2,324483,298.24,35,0
84,75006,1732,2,2.2,1,1978,10492,1,0,1,3,Gas,0.0,65,56.8,39.4,538995,311.2,47,0
85,75013,2278,3,2.7,2,1975,7523,1,0,0,4,Gas,0.0,104,47.0,33.4,938165,411.84,50,0
86,75010,2235,5,1.0,2,1958,9446,1,0,1,4,Gas,0.0,179,76.3,46.7,853014,381.66,67,0
87,75006,1024,3,2.8,2,1977,8797,2,0,0,3,Gas,0.0,168,62.6,38.7,396671,387.37,48,0
88,75001,2156,2,3.2,1,1975,7426,1,0,0,5,Electric,0.0,182,100.0,31.6,785750,364.45,50,0
89,75006,1635,1,2.4,1,1951,8255,1,0,0,5,Gas,0.0,28,61.9,29.1,548192,335.29,74,0
90,75006,2719,5,1.8,2,2004,2838,1,0,0,5,Electric,0.0,30,61.9,49.5,787437,289.61,21,0
91,75010,1880,5,2.3,1,2010,6515,2,0,1,3,Electric,0.0,103,55.9,31.4,750826,399.38,15,0
92,75013,2216,6,3.9,1,1950,3126,2,0,1,2,Solar,0.0,75,71.0,58.0,769178,347.1,75,0
93,75006,1935,5,2.5,2,2012,4180,0,1,1,3,Gas,0.0,143,35.6,39.7,638533,329.99,13,0
94,75010,2400,3,2.4,1,1951,300,0,0,0,4,Solar,0.0,40,62.5,49.0,887283,369.7,74,0
95,75009,1539,1,1.9,2,2020,7112,2,0,1,2,Solar,78.3,64,76.5,18.2,381175,247.68,5,1
96,75010,2401,7,1.0,2,1990,8204,1,0,0,3,Gas,0.0,50,85.9,29.9,853448,355.46,35,0
97,75002,2725,8,3.2,1,2015,5777,1,0,0,4,Electric,0.0,178,46.3,26.0,1057151,387.95,10,0
98,75006,3101,5,2.4,1,1978,7388,2,0,1,3,Electric,0.0,4,43.4,34.3,950822,306.62,47,0
99,75002,2950,5,1.5,2,2009,13009,2,0,0,2,Gas,0.0,95,48.2,20.1,1014682,343.96,16,0
100,75006,1678,8,2.6,1,1966,7807,1,0,0,4,Gas,0.0,42,45.5,28.9,598383,356.6,59,0
101,75009,2346,8,1.3,1,2000,2994,2,0,1,3,Electric,0.0,85,75.1,33.3,626215,266.93,25,0
102,75010,2484,5,1.0,1,1993,4328,2,0,1,3,Electric,0.0,63,17.6,49.9,907640,365.39,32,0
103,75001,2354,6,1.9,1,1997,4614,2,1,1,3,Electric,0.0,150,73.2,55.2,874268,371.4,28,0
104,75001,2452,6,2.2,1,1976,6088,1,0,1,4,Solar,0.0,168,73.7,47.1,853830,348.22,49,0
105,75006,2254,5,1.7,1,2024,2478,1,0,1,4,Gas,0.0,138,48.9,31.2,611206,271.17,1,1
106,75010,1673,4,1.9,1,1954,6909,1,0,0,4,Gas,0.0,169,83.5,42.1,807331,482.56,71,0
107,75010,2124,5,2.3,1,2008,11927,2,0,0,4,Electric,0.0,145,54.0,72.0,856785,403.38,17,0
108,75009,2508,6,2.0,2,1966,8677,1,0,1,5,Electric,52.48,146,27.8,49.5,602158,240.09,59,0
109,75013,2277,4,2.3,2,1969,1428,3,0,1,3,Electric,0.0,103,84.7,51.9,933777,410.09,56,0
110,75006,1342,7,2.4,1,1956,12257,2,0,0,4,Gas,0.0,81,75.6,40.9,541982,403.86,69,0
111,75006,1473,2,1.6,1,2001,8706,2,1,1,4,Gas,0.0,137,49.1,37.9,604029,410.07,24,0
112,75006,1754,3,1.9,2,1984,5335,2,0,1,3,Gas,0.0,26,70.6,91.8,496953,283.33,41,0
113,75002,1877,7,2.9,1,1992,7489,0,0,1,3,Solar,0.0,198,49.9,20.0,773637,412.17,33,0
114,75010,2094,8,1.5,2,1951,2602,1,0,0,3,Gas,0.0,37,68.3,52.0,775621,370.4,74,0
115,75006,1414,8,2.7,1,1954,6284,3,0,0,5,Gas,0.0,108,50.0,16.2,588345,416.09,71,0
116,75009,2477,4,1.7,1,2004,11073,2,0,1,3,Gas,0.0,135,70.2,40.7,561199,226.56,21,0
117,75009,885,4,1.8,1,1953,10904,2,0,1,3,Solar,0.0,173,43.5,42.4,371662,419.96,72,0
118,75009,2317,5,3.0,2,1982,11827,2,0,1,3,Gas,0.0,94,71.6,40.1,639288,275.91,43,0
119,75001,2304,8,1.7,2,2024,7629,1,0,0,4,Electric,516.27,106,52.8,13.1,872749,378.8,1,1
120,75013,2386,7,3.0,2,1957,11032,2,0,1,4,None,0.0,171,34.9,36.4,972591,407.62,68,0
121,75013,400,4,3.5,2,2006,11296,2,0,1,5,Gas,0.0,5,58.4,43.8,435420,1088.55,19,0
122,75002,1190,5,2.1,1,2021,9097,0,0,1,4,Gas,272.09,119,90.3,30.7,561356,471.73,4,1
123,75002,1788,2,4.3,1,1999,6449,1,1,0,3,Gas,0.0,140,72.4,50.4,616274,344.67,26,0
124,75009,2101,7,2.5,1,1977,2739,1,0,1,1,Gas,0.0,123,48.3,24.8,608735,289.74,48,0
125,75013,1951,4,3.3,1,1962,8548,2,0,0,3,Solar,625.39,125,55.2,68.1,852755,437.09,63,0
126,75013,1512,3,2.1,1,1988,8544,2,0,0,3,Electric,0.0,182,63.3,58.4,690777,456.86,37,0
127,75002,2770,1,2.3,1,2019,2969,0,0,0,4,Gas,0.0,28,50.9,22.8,884417,319.28,6,0
128,75009,2194,3,3.4,2,2015,2310,0,0,0,4,Gas,0.0,117,80.5,62.7,542495,247.26,10,0
129,75010,1763,3,2.9,2,2006,13225,2,0,0,3,Gas,0.0,112,72.5,21.1,763644,433.15,19,0
130,75006,1407,1,1.0,2,1977,5019,1,1,0,5,Gas,0.0,126,74.2,57.3,461574,328.06,48,0
131,75010,2041,2,2.7,1,1980,8709,1,0,0,3,Gas,638.11,167,66.5,17.3,765304,374.97,45,0
132,75002,2755,3,4.2,1,1996,5753,1,0,1,4,Gas,0.0,183,72.0,53.2,931845,338.24,29,0
133,75009,2021,1,1.4,1,2015,5676,3,0,0,4,Gas,0.0,156,59.4,44.5,510118,252.41,10,0
134,75013,1981,3,3.8,1,1988,8418,2,0,0,2,Electric,0.0,49,51.2,39.4,773167,390.29,37,0
135,75013,2040,5,2.8,2,2003,5964,2,0,1,4,Gas,0.0,165,70.5,27.4,861977,422.54,22,0
136,75001,2072,3,1.9,2,1993,5503,2,0,0,5,Gas,774.91,150,100.0,31.8,758340,365.99,32,0
137,75007,1860,5,2.9,1,2002,6695,1,0,0,4,Gas,0.0,106,38.0,64.8,588187,316.23,23,0
138,75002,1416,6,3.6,2,1951,5594,0,0,0,4,Gas,0.0,67,86.1,24.6,564996,399.01,74,0
139,75007,2917,5,2.7,2,1992,4626,1,0,0,3,Gas,0.0,70,72.2,53.0,818022,280.43,33,0
140,75009,2382,8,4.2,2,1998,3892,2,0,1,3,Gas,0.0,63,51.7,12.3,535850,224.96,27,0
141,75001,3270,7,3.2,2,1962,4134,0,1,0,4,Solar,785.16,14,66.9,39.4,1214207,371.32,63,0
142,75002,2299,3,1.0,2,1959,12149,2,0,0,4,Solar,71.83,112,78.0,52.5,809132,351.95,66,0
143,75013,1861,5,3.7,2,2004,8521,2,0,0,1,Electric,375.87,78,46.4,39.5,785150,421.9,21,0
144,75009,1432,4,3.5,2,1997,1631,1,0,1,3,Gas,0.0,160,64.0,45.6,391790,273.6,28,0
145,75007,1802,3,2.1,1,2007,2907,1,0,0,2,Gas,0.0,53,68.0,28.4,550545,305.52,18,0
146,75010,1308,5,3.9,1,1953,5926,2,0,1,4,Solar,0.0,84,94.6,33.4,648976,496.16,72,0
147,75010,3259,7,2.3,2,2004,7113,2,0,0,3,None,0.0,54,53.8,39.8,1088271,333.93,21,0
148,75001,1990,2,2.9,1,2011,813,2,0,0,4,Electric,0.0,98,79.3,22.8,722032,362.83,14,0
149,75010,2472,4,2.7,1,2008,13428,2,0,0,2,Solar,0.0,7,82.5,31.5,899332,363.81,17,0
150,75010,2577,3,1.6,1,1989,5775,2,0,0,3,Gas,0.0,70,50.5,38.7,933492,362.24,36,0
151,75002,2649,3,1.5,2,1980,1194,3,0,1,4,Gas,220.46,3,66.2,41.0,816436,308.21,45,0
152,75010,3529,5,1.8,1,1953,1303,2,0,1,3,Electric,0.0,102,79.5,25.8,1307168,370.41,72,0
153,75002,1943,6,1.2,2,2007,10388,2,1,0,3,Solar,728.98,138,90.2,42.4,816417,420.18,18,0
154,75006,1891,2,1.9,1,1985,4188,1,0,1,1,Solar,0.0,5,73.7,46.2,553417,292.66,40,0
155,75010,2099,6,2.1,1,2017,7575,1,0,0,1,Electric,0.0,1,53.8,37.9,711521,338.98,8,0
156,75001,2449,5,1.5,1,1964,3233,2,1,1,3,Gas,194.38,134,92.5,35.1,879616,359.17,61,0
157,75010,2107,6,1.2,1,1972,6269,3,0,0,3,Gas,0.0,95,67.4,42.6,887221,421.08,53,0
158,75013,1839,3,3.7,1,1963,5856,2,1,1,4,Electric,0.0,95,100.0,37.6,945770,514.28,62,0
159,75010,1570,3,2.7,1,1980,5125,2,0,1,3,Gas,330.33,139,65.0,62.1,665534,423.91,45,0
160,75007,1535,5,3.5,1,1963,8643,3,0,0,4,Electric,377.02,54,84.4,35.4,520606,339.16,62,0
161,75007,2162,2,2.9,2,2008,3780,3,0,1,5,Gas,666.86,160,43.9,32.5,669466,309.65,17,0
162,75010,1401,2,2.4,1,1967,3473,2,0,0,4,Gas,0.0,7,98.7,18.9,593285,423.47,58,0
163,75009,912,4,2.9,1,2003,7614,0,0,1,4,Gas,628.33,176,52.2,37.5,354809,389.04,22,0
164,75001,2069,1,2.8,2,2012,3070,1,0,0,4,Electric,164.49,163,60.8,57.7,774138,374.16,13,0
165,75009,2698,2,3.7,2,1981,7151,2,0,0,2,Electric,0.0,186,58.3,26.3,640632,237.45,44,0
166,75010,2397,5,2.8,2,1975,4864,1,0,1,4,Solar,0.0,176,70.2,39.8,1051867,438.83,50,0
167,75006,1989,8,2.1,1,1971,464,0,0,0,5,Electric,0.0,99,56.7,3.7,647776,325.68,54,0
168,75013,2242,3,1.6,2,2021,5881,3,1,1,3,Electric,0.0,32,68.6,50.2,964093,430.01,4,1
169,75010,1012,7,2.6,2,1955,10599,2,0,0,2,Electric,707.31,15,82.0,34.6,605743,598.56,70,0
170,75009,1586,8,4.0,1,1999,11732,2,0,0,5,None,0.0,57,53.0,25.7,527685,332.71,26,0
171,75010,3007,3,1.4,1,2019,8988,2,0,0,3,Electric,0.0,85,28.9,52.8,1032543,343.38,6,0
172,75001,2710,2,1.3,1,1982,2924,1,0,1,3,Electric,0.0,55,80.9,53.5,878813,324.29,43,0
173,75013,1573,4,1.8,2,1955,7178,2,0,1,4,Gas,0.0,136,48.1,46.3,720260,457.89,70,0
174,75010,3053,3,2.9,1,1982,8649,3,0,1,5,Solar,0.0,46,62.8,15.6,1198157,392.45,43,0
175,75013,1569,5,3.0,1,2010,3155,1,0,0,3,Solar,0.0,52,64.3,20.1,732774,467.03,15,0
176,75001,1506,3,2.6,1,1999,5463,0,0,0,3,Gas,0.0,45,61.4,49.3,699767,464.65,26,0
177,75001,2922,3,3.1,1,1987,300,2,0,1,4,Solar,433.83,117,86.3,51.3,1002262,343.01,38,0
178,75001,2785,4,3.1,1,1952,300,2,0,0,2,Electric,422.21,117,100.0,47.6,861023,309.16,73,0
179,75006,1647,4,3.1,2,1991,8532,1,0,1,1,Electric,0.0,136,70.0,14.5,535585,325.19,34,0
180,75007,1971,4,2.4,2,1992,4128,1,0,1,4,Electric,0.0,50,71.7,54.3,570706,289.55,33,0
181,75009,1795,7,3.4,1,2012,8681,1,0,1,2,Electric,0.0,62,45.4,53.3,513137,285.87,13,0
182,75001,2302,2,3.1,2,1996,9132,2,0,1,4,Gas,0.0,7,80.3,54.2,825868,358.76,29,0
183,75002,2940,8,3.8,1,2012,9616,1,0,0,4,Electric,0.0,63,50.4,55.2,870654,296.14,13,0
184,75010,2319,2,1.0,1,1987,2200,1,0,1,4,Solar,0.0,116,68.2,29.4,1051046,453.23,38,0
185,75007,1932,3,2.6,2,1979,10633,2,0,1,4,Gas,0.0,122,25.6,20.5,606803,314.08,46,0
186,75010,1192,5,2.0,2,1999,479,1,0,0,3,Gas,0.0,152,81.0,38.2,633119,531.14,26,0
187,75001,2467,2,1.6,2,1987,4315,3,1,0,4,Gas,0.0,111,65.3,43.3,985206,399.35,38,0
188,75009,1266,1,1.9,2,1979,14309,1,1,1,2,Electric,0.0,16,72.7,34.4,370664,292.78,46,0
189,75013,1888,5,2.6,1,1999,3345,2,1,1,4,Electric,0.0,157,62.7,32.2,835901,442.74,26,0
190,75009,2575,2,2.4,2,2000,5460,1,0,1,4,Electric,0.0,48,43.1,47.9,615688,239.1,25,0
191,75002,2487,8,1.0,1,2015,11649,2,0,1,3,Gas,0.0,63,99.0,47.8,855632,344.04,10,0
192,75010,2503,5,2.0,1,2000,4249,1,0,0,3,Electric,0.0,165,66.3,51.5,1043490,416.9,25,0
193,75006,2419,5,2.6,2,1950,9824,2,1,0,3,Electric,0.0,61,92.0,28.5,793230,327.92,75,0
194,75010,2088,5,3.1,1,2011,6107,2,0,1,4,Solar,0.0,40,39.5,29.7,890267,426.37,14,0
195,75001,2181,1,2.9,2,1955,8722,3,0,1,4,Solar,0.0,65,54.6,51.9,799094,366.39,70,0
196,75009,2055,5,2.8,2,1997,11894,2,0,0,4,Gas,0.0,21,70.5,29.2,579313,281.9,28,0
197,75001,2290,3,3.0,2,1956,8277,2,0,1,4,Gas,0.0,99,72.9,33.1,815920,356.3,69,0
198,75010,2321,3,2.5,2,1980,6835,2,0,0,3,Gas,0.0,65,45.8,20.5,865019,372.69,45,0
199,75007,2080,5,3.6,1,1971,6524,2,0,1,3,Electric,0.0,93,85.7,41.9,647498,311.3,54,0
200,75001,2308,5,2.7,1,2016,6210,1,0,1,4,Electric,180.81,125,62.6,50.8,787429,341.17,9,0
201,75009,1589,5,2.1,1,2018,9378,1,0,1,4,Gas,0.0,104,45.4,13.6,512436,322.49,7,0
202,75001,1816,4,3.6,1,1965,6491,3,0,1,5,None,0.0,145,67.1,38.8,734373,404.39,60,0
203,75010,2138,3,2.1,2,1973,5689,1,0,1,5,Gas,0.0,194,57.6,37.4,920686,430.63,52,0
204,75013,3154,4,3.0,1,2019,10655,0,0,1,2,Electric,108.43,127,87.4,42.0,1113631,353.09,6,0
205,75010,2317,5,2.5,2,1981,10764,0,0,0,5,Electric,0.0,3,47.5,24.2,853922,368.55,44,0
206,75009,1919,3,1.8,1,1983,10419,2,0,0,2,Solar,0.0,38,79.7,24.5,526039,274.12,42,0
207,75001,1868,3,1.4,2,1971,4634,1,1,1,2,Electric,0.0,197,42.9,33.7,703332,376.52,54,0
208,75010,2446,4,2.9,1,2000,3639,1,0,0,2,Gas,0.0,95,48.2,31.5,929017,379.81,25,0
209,75010,1942,1,2.0,2,1972,3557,3,0,0,1,Gas,796.31,156,50.0,51.2,638021,328.54,53,0
210,75001,2382,3,2.5,2,1950,10442,2,0,1,4,Electric,0.0,198,73.7,54.3,898039,377.01,75,0
211,75010,2307,1,2.8,1,1960,5970,2,0,1,5,Electric,0.0,101,43.4,20.7,917189,397.57,65,0
212,75009,1252,5,2.6,2,2000,7319,1,0,1,3,Gas,0.0,88,59.9,60.3,363111,290.02,25,0
213,75007,2284,3,1.0,2,1974,2429,3,1,1,3,Gas,0.0,52,72.4,52.4,685120,299.96,51,0
214,75010,2279,6,2.7,2,1996,5204,1,0,0,3,Electric,0.0,26,76.0,33.8,842650,369.75,29,0
215,75007,2478,3,2.7,1,1961,2598,2,0,0,4,Electric,0.0,170,57.8,24.2,644655,260.15,64,0
216,75007,1498,3,2.4,1,2012,3776,1,0,1,5,Gas,622.98,59,61.2,26.7,484198,323.23,13,0
217,75002,2656,4,2.7,2,1961,729,1,1,0,2,Electric,0.0,43,77.2,14.2,956399,360.09,64,0
218,75006,1900,3,2.1,2,2019,8570,2,1,0,3,Gas,0.0,10,66.6,16.8,671548,353.45,6,0
219,75010,3193,3,2.5,1,1971,9141,1,0,1,2,Gas,0.0,65,74.4,27.0,1103822,345.7,54,0
220,75002,3051,4,3.5,1,2016,1858,2,0,1,3,Electric,0.0,55,76.3,54.8,932869,305.76,9,0
221,75007,1635,5,3.0,2,2020,7443,1,0,1,3,Gas,0.0,128,79.3,38.6,552596,337.98,5,1
222,75013,1178,3,2.1,1,1987,5135,2,0,0,1,Gas,107.97,82,93.8,43.9,564711,479.38,38,0
223,75002,2418,2,1.7,1,1988,10276,2,0,1,2,Gas,0.0,4,42.5,20.5,725775,300.16,37,0
224,75013,1508,5,2.3,2,2017,11337,2,0,0,3,Gas,0.0,17,66.8,39.9,798234,529.33,8,0
225,75013,2689,8,1.9,2,2003,5927,1,0,1,2,Gas,600.33,154,52.3,55.0,1014635,377.33,22,0
226,75001,2318,4,2.8,2,1975,1491,2,0,0,2,Solar,0.0,13,67.3,73.0,785995,339.08,50,0
227,75007,1128,2,2.0,1,1960,6112,1,0,1,2,Gas,0.0,184,84.9,28.8,371253,329.12,65,0
228,75009,2469,2,2.4,1,1992,8542,1,0,1,2,Electric,0.0,76,83.2,57.8,532523,215.68,33,0
229,75006,2082,4,1.5,2,2001,4216,2,0,0,4,Solar,0.0,129,63.2,53.7,605819,290.98,24,0
230,75001,2247,6,1.6,2,1969,5118,1,0,0,4,Solar,0.0,121,89.6,42.9,744581,331.37,56,0
231,75002,2914,5,2.0,1,1992,300,2,0,0,2,None,327.59,28,85.1,54.5,954574,327.58,33,0
232,75001,1922,6,2.3,2,1955,5956,1,0,1,4,Gas,0.0,11,74.1,36.2,711301,370.08,70,0
233,75002,2455,4,1.3,2,1994,9585,1,0,1,2,Gas,178.07,163,72.0,55.0,673517,274.35,31,0
234,75010,1641,6,1.8,2,1966,5522,2,0,0,3,None,0.0,114,40.9,53.9,586250,357.25,59,0
